Barrio,cadaveres,labor_preventiva,incendios_estructurales,incendios_residenciales,otros,control_avispas,incendios_forestales,accidentes_transito,corto_circuito,traslado_heridos,conato_incendio,emergencia_no_atendida,rescate_personas,deslizamientos,falsas_alarmas,rescate _animales,escape_gas_natural,incendios_automotor,derrumbre_estructural,incendios_basureros,escape_gas_propano,inundaciones,incendios_industriales,explosion_transformadores,quemas_controladas,incendios_comerciales,otra_explosion,incendios_edificaciones,emergencias_materiales_peligrosos,corte_anillos,escape_gas_sistema_vehicular,explosion_cilindros,rescate_personas_ascensor,rescate_personas_suicidios,traslados_muertos,escape_cloro,busqueda_ahogado,explosion_polvorerias,total_emergencias
90,1,40,2,7,23,67,56,12,2,6,14,0,14,3,3,19,8,5,0,15,1,1,0,2,1,2,0,2,0,0,0,0,1,3,0,0,0,0,310
91,0,3,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
92,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
94,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
97,0,2,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
98,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
102,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
103,0,40,1,9,24,30,1,6,3,4,4,0,7,0,0,25,12,4,4,11,1,1,2,1,0,6,0,1,0,1,0,0,3,1,0,0,0,0,202
104,1,8,1,1,4,18,18,2,0,0,6,0,5,1,0,11,4,3,1,18,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106
105,0,4,0,1,2,9,5,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
106,0,4,0,0,1,3,3,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
107,0,12,1,1,3,26,0,3,1,2,3,0,6,0,0,5,6,2,1,5,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,84
108,0,10,0,0,0,20,1,0,0,1,0,0,0,0,1,7,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,49
109,0,14,0,2,4,13,19,0,0,0,2,0,1,1,0,7,2,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
110,0,9,2,5,5,50,13,0,1,0,2,0,5,0,1,9,3,3,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,116
111,0,31,0,5,17,60,20,4,0,1,7,0,7,0,1,14,5,3,0,9,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,190
112,0,1,0,0,2,2,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
113,0,5,0,0,5,9,5,2,0,0,1,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37
114,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
115,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
116,0,4,0,1,2,13,1,0,0,0,2,0,0,0,0,5,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35
117,0,2,0,0,2,2,1,1,0,1,0,0,1,0,0,2,1,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
119,0,4,1,1,3,7,9,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121,0,2,0,1,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
122,0,37,1,0,11,8,39,1,1,0,1,2,2,1,1,7,2,1,1,11,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,134
123,0,2,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
124,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
125,0,4,0,0,2,6,7,0,0,0,0,0,1,1,0,5,2,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,35
126,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
127,0,1,0,0,4,1,10,0,0,1,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
128,0,5,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
129,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
132,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
133,0,2,0,0,3,3,17,0,1,0,3,0,2,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,42
134,0,4,0,0,1,2,12,1,0,0,0,0,1,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
135,0,1,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
136,0,12,0,2,1,4,16,0,1,0,2,0,2,1,0,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,54
137,0,8,0,1,1,10,10,1,0,0,1,0,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
138,0,7,0,1,6,8,7,5,2,1,2,0,0,1,1,6,3,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,58
139,0,3,0,0,1,5,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
140,1,7,0,2,3,10,4,0,1,1,1,0,0,0,0,3,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
141,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
